"Date","Category","Total_Quantity"
2024-03-15,"Bakery, Bread & Baking ingredient",5
2024-03-15,"Other",19
2024-03-15,"Tea Coffee, Dried fruits & Nuts",1
2024-03-18,"Bakery, Bread & Baking ingredient",1
2024-03-18,"Dairy & Dairy alternatives",1
2024-03-18,"Fruit & Vegetables (Fresh)",12
2024-03-18,"Other",27
2024-03-19,"Dairy & Dairy alternatives",1
2024-03-19,"Fruit & Vegetables (Fresh)",1863
2024-03-19,"Other",23
2024-03-21,"Dairy & Dairy alternatives",3
2024-03-21,"Dessert, Confectionery, biscuit & snacks",3
2024-03-21,"Fruit & Vegetables (Fresh)",3505
2024-03-21,"Meat, Poultry, Fish & Egg",7
2024-03-21,"Other",889
2024-03-21,"Ready meal, pizza, soup & Salad boxes",2
2024-03-22,"Bakery, Bread & Baking ingredient",2
2024-03-22,"Dairy & Dairy alternatives",1
2024-03-22,"Fruit & Vegetables (Fresh)",1
2024-03-22,"Other",27
2024-03-23,"Bakery, Bread & Baking ingredient",12348
2024-03-23,"Dairy & Dairy alternatives",250
2024-03-23,"Dried Pasta, Rice, Noodles & Pulse",326
2024-03-23,"Fruit & Vegetables (Fresh)",2363
2024-03-23,"Other",11
2024-03-23,"Sauces, Pickles, Herbs, Tins & Bottles",568
2024-03-24,"Bakery, Bread & Baking ingredient",86
2024-03-24,"Other",2
2024-03-24,"Sauces, Pickles, Herbs, Tins & Bottles",2
2024-03-25,"Bakery, Bread & Baking ingredient",4
2024-03-25,"Dairy & Dairy alternatives",945
2024-03-25,"Fruit & Vegetables (Fresh)",1
2024-03-25,"Other",15
2024-03-26,"Bakery, Bread & Baking ingredient",15139
2024-03-26,"Dairy & Dairy alternatives",145898
2024-03-26,"Dessert, Confectionery, biscuit & snacks",215
2024-03-26,"Drink, Juice & Drink ingredients",4
2024-03-26,"Fruit & Vegetables (Fresh)",111228
2024-03-26,"Other",661
2024-03-26,"Plant based products",6
2024-03-27,"Bakery, Bread & Baking ingredient",11
2024-03-27,"Dairy & Dairy alternatives",39
2024-03-27,"Dessert, Confectionery, biscuit & snacks",17
2024-03-27,"Fruit & Vegetables (Fresh)",18
2024-03-27,"Other",290
2024-03-27,"Plant based products",28
2024-04-03,"Bakery, Bread & Baking ingredient",25924
2024-04-03,"Fruit & Vegetables (Fresh)",20736
2024-04-03,"Other",47
2024-04-04,"Bakery, Bread & Baking ingredient",4
2024-04-04,"Fruit & Vegetables (Fresh)",14
2024-04-04,"Other",3
2024-04-05,"Bakery, Bread & Baking ingredient",3
2024-04-05,"Fruit & Vegetables (Fresh)",11
2024-04-05,"Other",27
2024-04-07,"Bakery, Bread & Baking ingredient",9361
2024-04-07,"Dessert, Confectionery, biscuit & snacks",5761
2024-04-07,"Drink, Juice & Drink ingredients",15001
2024-04-07,"Fruit & Vegetables (Fresh)",28008
2024-04-07,"Other",3
2024-04-07,"Plant based products",21606
2024-04-07,"Sauces, Pickles, Herbs, Tins & Bottles",15100
2024-04-08,"Bakery, Bread & Baking ingredient",10
