"Staff","Customer.Full.Name","Location.Name","Device.Name","Quantity","Product","Category","Date.Time","Discount.Value","Discount.Reason","NET.Sales","Tax.Code","Tax","TOTAL.Sales","Cost.Price","Margin","Tender","Nominal","A.C.Ref","Notes","Customer.ID","ProductId"
"Individuals"," ","Harper Adams University Main Store","Till1","96000.0000g","Yogurt or Yogurt drink (Donate)","Dairy & Dairy alternatives","21/05/2024 09:28:55",0," ",0," ",0,0,0,0,"Returning user"," "," ","MAN WT"," ",20517729
"Individuals"," ","Harper Adams University Main Store","Till1","4.0000g","Rice pudding (Donate)","Dessert, Confectionery, biscuit & snacks","21/05/2024 09:25:54",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",20517688
"Individuals"," ","Harper Adams University Main Store","Till1","1.0000","2) Staff member","Other","21/05/2024 09:25:54",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",20517522
"Individuals"," ","Harper Adams University Main Store","Till1","1.0000","2) Staff member","Other","21/05/2024 09:25:35",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",20517522
"Individuals"," ","Harper Adams University Main Store","Till1","1.0000","Bread and bakery (Take)","Other","21/05/2024 09:25:35",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",21376212
"Individuals"," ","Harper Adams University Main Store","Till1","1.0000","Chicken Turkey (Take)","Meat, Poultry, Fish & Egg","21/05/2024 09:23:57",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",20517569
"Individuals"," ","Harper Adams University Main Store","Till1","1.0000","Sandwiches (Take)","Ready meal, pizza, soup & Salad boxes","21/05/2024 09:23:05",0," ",0," ",0,0,0,0,"First time user"," "," "," "," ",20517696
"Individuals"," ","Harper Adams University Main Store","Till1","1.0000","Ham (Take)","Other","21/05/2024 09:17:55",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",22081444
"Individuals"," ","Harper Adams University Main Store","Till1","1.0000","1) Postgraduate student","Other","21/05/2024 09:17:55",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",20517520
"Individuals"," ","Harper Adams University Main Store","Till1","1.0000","Dips  and Houmous (Take)","Other","21/05/2024 09:17:55",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",22081442
"Individuals"," ","Harper Adams University Main Store","Till1","1.0000","Pasta (Take)","Dried Pasta, Rice, Noodles & Pulse","21/05/2024 09:17:55",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",20517665
"Individuals"," ","Harper Adams University Main Store","Till1","1.0000","Fresh fruits (any) (Take)","Fruit & Vegetables (Fresh)","21/05/2024 09:17:55",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",20517610
"Individuals"," ","Harper Adams University Main Store","Till1","1.0000","Mixed salad leaves (Take)","Fruit & Vegetables (Fresh)","21/05/2024 09:17:55",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",20517644
"Individuals"," ","Harper Adams University Main Store","Till1","1.0000","Sandwich Thins (Take)","Other","21/05/2024 09:17:55",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",20517694
"Individuals"," ","Harper Adams University Main Store","Till1","3.0000","Sandwiches (Take)","Ready meal, pizza, soup & Salad boxes","21/05/2024 09:14:44",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",20517696
"Individuals"," ","Harper Adams University Main Store","Till1","4.0000g","Danish Pastry (Donate)","Bakery, Bread & Baking ingredient","21/05/2024 09:14:44",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",20517596
"Individuals"," ","Harper Adams University Main Store","Till1","1.0000","Dips  and Houmous (Take)","Other","21/05/2024 09:14:44",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",22081442
"Individuals"," ","Harper Adams University Main Store","Till1","4.0000","Onions (Take)","Fruit & Vegetables (Fresh)","21/05/2024 09:14:44",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",20517659
"Individuals"," ","Harper Adams University Main Store","Till1","1.0000","Ready meal box (Take)","Ready meal, pizza, soup & Salad boxes","21/05/2024 09:14:44",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",20517684
"Individuals"," ","Harper Adams University Main Store","Till1","1.0000","Houmous (Take)","Ready meal, pizza, soup & Salad boxes","21/05/2024 09:09:09",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",20517627
"Individuals"," ","Harper Adams University Main Store","Till1","2.0000","Chicken Turkey (Take)","Meat, Poultry, Fish & Egg","21/05/2024 09:09:09",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",20517569
"Individuals"," ","Harper Adams University Main Store","Till1","1.0000","Sandwiches (Take)","Ready meal, pizza, soup & Salad boxes","21/05/2024 09:09:09",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",20517696
"Individuals"," ","Harper Adams University Main Store","Till1","1.0000","Bread (Take)","Bakery, Bread & Baking ingredient","21/05/2024 09:08:40",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",20517548
"Individuals"," ","Harper Adams University Main Store","Till1","1.0000","Onions (Take)","Fruit & Vegetables (Fresh)","21/05/2024 09:08:40",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",20517659
"Individuals"," ","Harper Adams University Main Store","Till1","1.0000","Pies & Fish pie (Take)","Ready meal, pizza, soup & Salad boxes","21/05/2024 09:07:32",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",20517669
"Individuals"," ","Harper Adams University Main Store","Till1","1.0000","Onions (Take)","Fruit & Vegetables (Fresh)","21/05/2024 09:07:13",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",20517659
"Individuals"," ","Harper Adams University Main Store","Till1","1.0000","Ham (Take)","Other","21/05/2024 09:06:51",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",22081444
"Individuals"," ","Harper Adams University Main Store","Till1","1.0000","Sandwich Thins (Take)","Other","21/05/2024 09:06:51",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",20517694
"Individuals"," ","Harper Adams University Main Store","Till1","1.0000","Bread and bakery (Take)","Other","21/05/2024 09:06:51",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",21376212
"Individuals"," ","Harper Adams University Main Store","Till1","1.0000","1) Postgraduate student","Other","21/05/2024 09:04:48",0," ",0," ",0,0,0,0,"First time user"," "," "," "," ",20517520
"Individuals"," ","Harper Adams University Main Store","Till1","3.0000","Banana (Take)","Fruit & Vegetables (Fresh)","21/05/2024 09:04:48",0," ",0," ",0,0,0,0,"First time user"," "," "," "," ",20517533
"Individuals"," ","Harper Adams University Main Store","Till1","1.0000","Courgettes & squash (Take)","Fruit & Vegetables (Fresh)","21/05/2024 09:04:48",0," ",0," ",0,0,0,0,"First time user"," "," "," "," ",20517585
"Individuals"," ","Harper Adams University Main Store","Till1","1.0000","Ham (Take)","Other","21/05/2024 09:02:01",0," ",0," ",0,0,0,0,"Returning user"," "," "," "," ",22081444
